id,text,valg1_label,valg1_goto,valg2_label,valg2_goto,story_title,story_description,length,age
125,"Alle vennerne hjælper med at løfte træet og trække Ugle fri. Efter en stor fælles indsats kommer Ugle endelig ud. ""Tak, mine venner!"" siger han rørt.",Slut - fortællingen er færdig,,,,,,,
126,"Regnen siler ned i Hundredmeterskoven, og vandet stiger hurtigt. Plys sidder i sit træ og ser vandet nå højere og højere. ""Åh nej… jeg er fanget!""",Vent på hjælp,127,Prøv at svømme,128,,,,
127,"Plys venter, mens vandet når helt op til grenen. Pludselig kommer Grisling sejlende i en stor gryde! ""Jeg kommer for at redde dig!"" råber han.",Bliv reddet,129,Prøv at hjælpe andre,130,,,,
128,"Plys prøver at svømme, men han er ikke særlig god til det. ""Jeg kan ikke svømme!"" råber han og klamrer sig til træet.",Vent på hjælp,127,Se Grisling komme,131,,,,
129,"Grisling hjælper Plys op i gryden. ""Du reddede mig!"" siger Plys. ""Selvfølgelig,"" siger Grisling. ""Jeg sendte også en flaskepost – måske kommer der endnu mere hjælp!""",Slut - fortællingen er færdig,,,,,,,
130,"Plys prøver at hjælpe andre dyr i vandet, men han kan ikke svømme godt nok. Heldigvis dukker Grisling op i sin gryde for at hente ham.",Bliv reddet,129,Prøv at svømme,128,,,,
131,"Plys ser Grisling komme glidende gennem vandet i gryden. ""Her er jeg!"" råber Plys. ""Jeg kommer!"" siger Grisling.",Bliv reddet,129,Prøv at hjælpe,130,,,,
132,"Plys går gennem skoven og ser to dyr, han aldrig har set før: Kylling (Kanga) og hendes lille Roo. ""Hej!"" siger Kylling venligt. ""Vi er nye her.""",Sig hej tilbage,133,Spørg de andre,134,,,,
133,"""Velkommen til Hundredmeterskoven!"" siger Plys. Roo hopper begejstret. ""Er her virkelig så mange venner?"" spørger han. ""Ja!"" siger Plys. ""Kom, jeg vil vise jer rundt!""",Præsenter dem for de andre,135,Bliv venner,136,,,,
134,"Plys skynder sig hen til de andre venner. ""Der er nye dyr i skoven!"" siger han. Alle bliver nysgerrige og vil gerne møde dem.",Gå sammen for at møde dem,137,Bliv venner,136,,,,
135,"Plys præsenterer Kylling og Roo for alle vennerne. ""Dette er Kylling og Roo,"" siger Plys. Alle hilser varmt.",Alle bliver venner,136,Fejr sammen,138,,,,
136,"Alle vennerne byder Kylling og Roo velkommen. Roo hopper rundt af glæde. ""Det er så dejligt med nye venner!"" siger Grisling.",Slut - fortællingen er færdig,,,,,,,
137,"Alle vennerne går gennem skoven for at møde de nye. ""Hej og velkommen!"" siger de. Kylling smiler. ""Tak – vi er glade for at være her!""",Alle bliver venner,136,Fejr sammen,138,,,,
138,"Alle fejrer, at Kylling og Roo er flyttet til skoven. De spiser bær, gulerødder og lidt honning. ""Det er dejligt med nye venner!"" siger Plys.",Slut - fortællingen er færdig,,,,,,,
